Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
44,0,44-0,iat_variance_ratio,0.000370216556,44-1,44-2,44-2,27.7971573,27.3802738,
44,1,44-1,Leaf,,,,,-0.00569562009,21.8359241,
44,2,44-2,max_iat,0.0494580008,44-3,44-4,44-4,2.95924377,5.54435062,
44,3,44-3,Leaf,,,,,0.0207718909,4.4170146,
44,4,44-4,Leaf,,,,,0.00150289072,1.12733591,
45,0,45-0,packet_rate,41666.8672,45-1,45-2,45-2,17.0046253,28.0142822,
45,1,45-1,Leaf,,,,,-0.00564479036,18.0707741,
45,2,45-2,reverse_num_packets,1033.0,45-3,45-4,45-4,19.799408,9.94350815,
45,3,45-3,Leaf,,,,,0.0215027332,5.35680389,
45,4,45-4,Leaf,,,,,-0.00489128986,4.58670425,
46,0,46-0,total_packets,30937.0,46-1,46-2,46-2,7.95602274,29.4004726,
46,1,46-1,mean_iat,0.0015996719,46-3,46-4,46-4,27.806673,14.7663431,
46,2,46-2,Leaf,,,,,-0.00558252679,14.6341305,
46,3,46-3,Leaf,,,,,0.0215538237,4.98878717,
46,4,46-4,Leaf,,,,,-0.00541346613,9.77755547,
47,0,47-0,avg_bytes,3099454.0,47-1,47-2,47-2,41.4840012,29.7089863,
47,1,47-1,Leaf,,,,,0.0218881909,5.98158407,
47,2,47-2,Leaf,,,,,-0.00571582839,23.7274036,
48,0,48-0,mean_iat,2.40000008e-05,48-1,48-2,48-2,32.4427414,27.6405029,
48,1,48-1,Leaf,,,,,0.0206605662,4.80579758,
48,2,48-2,Leaf,,,,,-0.00570188276,22.8347054,
49,0,49-0,total_packets,30937.0,49-1,49-2,49-2,8.52379227,29.3816204,
49,1,49-1,Leaf,,,,,-0.00556404702,14.2636356,
49,2,49-2,num_packets,190613.0,49-3,49-4,49-4,28.0263596,15.1179848,
49,3,49-3,Leaf,,,,,0.021123657,5.43869114,
49,4,49-4,Leaf,,,,,-0.0053954185,9.67929363,
50,0,50-0,duration,4.99946404,50-1,50-2,50-2,26.248373,29.6127148,
50,1,50-1,mean_pkt_size,1002.01471,50-3,50-4,50-4,8.57030487,7.32233,
50,2,50-2,Leaf,,,,,-0.00569562241,22.2903862,
50,3,50-3,Leaf,,,,,0.020036459,5.70804405,
50,4,50-4,Leaf,,,,,-0.00367631228,1.61428571,
51,0,51-0,total_bytes,290693760.0,51-1,51-2,51-2,37.3751793,31.2322788,
51,1,51-1,Leaf,,,,,-0.00572925573,25.7869129,
51,2,51-2,Leaf,,,,,0.0210934896,5.44536591,
52,0,52-0,iat_variance_ratio,5.24272915e-25,52-1,52-2,52-2,16.658802,29.5470123,
52,1,52-1,dt_intensity,9599008770.0,52-3,52-4,52-4,15.5252352,12.5993471,
52,2,52-2,Leaf,,,,,-0.00562180346,16.9476662,
52,3,52-3,Leaf,,,,,-0.00490818825,4.62490416,
52,4,52-4,bytes,30713924.0,52-5,52-6,52-6,10.1355553,7.97444296,
52,5,52-5,Leaf,,,,,0.0218651127,6.34026527,
52,6,52-6,Leaf,,,,,-0.00370430551,1.63417792,
53,0,53-0,mean_pkt_size,1474.0,53-1,53-2,53-2,11.6684656,28.68116,
53,1,53-1,Leaf,,,,,-0.00554486737,13.685667,
53,2,53-2,byte_rate,619964.562,53-3,53-4,53-4,29.9097939,14.995492,
53,3,53-3,Leaf,,,,,0.0216190889,6.40062284,
